City,Property Type,Average_Bed,Square Footage,Address,Zip code,Price,Average_Price,Country
Ottawa,apartment,1.5,856,"90 Champagne  - Ottawa , ON",K1S 4P1,,2500,Canada
Ottawa,apartment,0.5,756,"253 - 257 York Street  - Ottawa , ON",K1N 5T9,,1762.5,Canada
Ottawa,apartment,0.5,470,"86-92 Hinton  - Ottawa , ON",K1Y 2Z7,,1950,Canada
Ottawa,apartment,1,167,"256 Rideau  - Ottawa , ON",K1N 0A9,,2127.5,Canada
Ottawa,apartment,1,1010,"150-152 Osgoode Street  - Ottawa , ON",K1N 8A4,,1400,Canada
Ottawa,apartment,1,954,"400 Kirkwood Avenue  - Ottawa , ON",K1Z 8N4,,2377.5,Canada
Ottawa,apartment,1.5,1700,"121 Parkdale Ave  - Ottawa , ON",K1Y 4S9,,3402.5,Canada
Ottawa,apartment,1.75,979,"929 Richmond Road  - Ottawa , ON",K2A 3T9,,2135,Canada
Ottawa,apartment,1.5,855,"192 Bronson Ave.  - Ottawa , ON",K1R 6P3,,2925,Canada
Ottawa,apartment,1.5,984,"1309 Carling Avenue  - Ottawa , ON",K1Z 7L3,,2643.5,Canada
Ottawa,town-house,3,400,"135 Dalhousie Street  - Ottawa , ON",K1N 7C2,,2675,Canada
Ottawa,private-room,4,600,"144 Osgoode Street  - Ottawa , ON",K1N 8A4,,720,Canada
Ottawa,apartment,1.5,645,"89 Nepean Street  - Ottawa , ON",K2P 2B0,,2145,Canada
Ottawa,apartment,1,1200,"287 Lisgar Street  - Ottawa , ON",K2P 0E1,,2062.5,Canada
Ottawa,apartment,1,1450,"383 Albert Street  - Ottawa , ON",K1R 5B2,,2155,Canada
Ottawa,apartment,1,237,"46 Nelson  - Ottawa , ON",K1N 5T9,,1925,Canada
Ottawa,apartment,0.5,425,"280 Laurier Avenue East  - Ottawa , ON",K1N 7Z2,,1907.5,Canada
Ottawa,apartment,0,623,"196 Beechwood  - Ottawa , ON",K1L 8A1,,1750,Canada
Ottawa,apartment,1.5,670,"12 Jolliet  - Ottawa , ON",K1L 5S2,,2345,Canada
Ottawa,private-room,2,698,"591 O'Connor  - Ottawa , ON",K1S 2G1,,3000,Canada
Ottawa,apartment,2,370,"105 Champagne Avenue South  - Ottawa , ON",K1S 4P1,,1425,Canada
Ottawa,apartment,3,1745,"101 Champagne Avenue South  - Ottawa , ON",K1S 4P1,,1355,Canada
Ottawa,apartment,2,586,"238 Carruthers  - Ottawa , ON",K1Y 1P8,,2550,Canada
Ottawa,apartment,0,960,"140 Osgoode Street  - Ottawa , ON",K1N 8A4,,1350,Canada
Ottawa,apartment,5,836,"18 Mcarthur  - Ottawa , ON",K1K 1K4,,4000,Canada
Ottawa,duplex,3,600,"216 Gladu  - Ottawa , ON",K1L 6P8,,2400,Canada
Ottawa,apartment,2.5,620,"530 Pimiwidon Street  - Gloucester , ON",Postal code not found,,2975,Canada
Ottawa,apartment,0,470,"87 Mann Avenue  - Ottawa , ON",K1N 7Z9,,1625,Canada
Ottawa,multi-unit,7,670,"101-115 Amaya  - Ottawa , ON",K2A 1P6,,900,Canada
Ottawa,apartment,0,560,"330 McLeod  - Ottawa , ON",K2P 1A4,,1500,Canada
Ottawa,apartment,1,350,"174 Clarence  - Ottawa , ON",K4C 1G9,,1700,Canada
Ottawa,apartment,1,1210,"178 Clarence  - Ottawa , ON",K1N 8Y3,,1685,Canada
Ottawa,multi-unit,0,1100,"139 Henderson  - Ottawa , ON",K1N 0A6,,1500,Canada
Ottawa,apartment,3,940,"142 Osgoode Street  - Ottawa , ON",K1N 8A4,,2700,Canada
Ottawa,apartment,1,610,"22 Murray Street  - Ottawa , ON",K1N 9M5,,1910,Canada
Ottawa,apartment,1,726,"60 Daly Avenue  - Ottawa , ON",K1N 7G4,,1649,Canada
Ottawa,apartment,2,550,"99 Parkdale Avenue  - Ottawa , ON",K1Y 4S9,,3120,Canada
Ottawa,apartment,1,874,"341 MacLaren Street  - Ottawa , ON",K2P 0M7,,1779,Canada
Ottawa,apartment,1,993,"335 MacLaren Street  - Ottawa , ON",K2P 0M7,,1762.5,Canada
Ottawa,apartment,1.5,716,"638 Center Street  - Ottawa , ON",K1K 4S5,,2032.5,Canada
Ottawa,apartment,2,753,"460 St-Laurent blvd  - Ottawa , ON",K1K 2Z8,,2682.5,Canada
Ottawa,apartment,5,786,"323 Besserer  - Ottawa , ON",K1N 1C7,,4250,Canada
Ottawa,apartment,5,854,"310 Somerset Street East  - Ottawa , ON",K1N 6V7,,4500,Canada
Ottawa,apartment,1,607,"833 Richmond Road  - Ottawa , ON",K2B 8E4,,2010,Canada
Ottawa,apartment,0,925,"185/195/200 Clearview Avenue  - Ottawa , ON",K1Z 1G4,,1499,Canada
Ottawa,apartment,2.5,1200,"1140/1150 Fisher Avenue  - Ottawa , ON",K2E 0B6,,2769,Canada
Ottawa,apartment,0.5,422,"1316 Carling Avenue  - Ottawa , ON",K1Z 7L3,,1579,Canada
Ottawa,apartment,2,433,"315 Holmwood Avenue  - Ottawa , ON",K1S 2R2,,2285,Canada
Ottawa,apartment,1,626,"1170 Fisher Avenue  - Ottawa , ON",K1Z 6P7,,1762,Canada
Ottawa,apartment,1,765,"2750 Carousel Crescent  - Gloucester , ON",K1T 4H4,,1625,Canada
Ottawa,apartment,1,570,"40 The Driveway  - Ottawa , ON",K1N 9A5,,1949,Canada
Ottawa,apartment,1,981,"1241 Kilborn Place  - Ottawa , ON",K1H 8N6,,1649,Canada
Ottawa,apartment,1,1,"200 Rideau Terrace  - Ottawa , ON",K1M 1B2,,1729,Canada
Ottawa,apartment,1,695,"2700 Saratoga Place  - Gloucester , ON",K1T 4H4,,1599,Canada
Ottawa,apartment,1.5,1650,"285 Loretta Ave S  - Ottawa , ON",K1V 1R6,,1900,Canada
Ottawa,apartment,0.5,500,"360 Friel  - Ottawa , ON",K1N 6M3,,1937.5,Canada
Ottawa,apartment,1,1282,"411 North River Rd.  - Ottawa , ON",K1K 1K4,,1924,Canada
Ottawa,duplex,6,3000,"533 Chapel  - Ottawa , ON",K1N 7Z9,,925,Canada
Ottawa,multi-unit,6,795,"75 Blackburn Avenue  - Ottawa , ON",K1N 6W3,,925,Canada
Ottawa,apartment,1,1200,"335 Cooper Street  - Ottawa , ON",K2P 0G7,,1937,Canada
Ottawa,apartment,1.5,1300,"70 Gloucester Street  - Ottawa , ON",K2P 1N6,,2410,Canada
Ottawa,apartment,1,380,"385 Besserer St  - Ottawa , ON",K1N 6H3,,1750,Canada
Ottawa,apartment,1.5,740,"435 Albert St.  - Ottawa , ON",K1R 5B5,,2325,Canada
Ottawa,apartment,0.5,765,"250 Besserer  - Ottawa , ON",K1N 5Y5,,1800,Canada
Ottawa,multi-unit,7,1700,"97 Fourth Avenue  - Ottawa , ON",K1S 2L1,,6055,Canada
Ottawa,multi-unit,0.5,500,"80 Nelson Street  - Ottawa , ON",K1N 5T9,,1435,Canada
Ottawa,apartment,1,1449,"169 Lisgar Street  - Ottawa , ON",K1R 6H6,,1950,Canada
Ottawa,apartment,0,422,"145 Stewart Street  - Ottawa , ON",K1N 7N1,,1499,Canada
Ottawa,apartment,2,941,"170 Metcalfe  - Ottawa , ON",K2P 1P8,,2650,Canada
Ottawa,apartment,2,1107,"199 Holland Avenue  - Ottawa , ON",K1Y 0X4,,1899,Canada
Ottawa,town-house,2,860,"530 Laurier Avenue West - 1  - Ottawa , ON",K1R 7Y7,,2450,Canada
Ottawa,house,2,1115,"71 Grosvenor Avenue  - Ottawa , ON",K1S 2Y7,,2500,Canada
Ottawa,town-house,2,930,"196 Besserer Street - 1202  - Ottawa , ON",K1N 7M7,,2800,Canada
Ottawa,town-house,2,453,"134 York Street - 703  - Ottawa , ON",K1N 5T9,,2500,Canada
Ottawa,house,3,1136,"1249 Kingston Ave.  - Ottawa , ON",K1Z 8E6,,2400,Canada
Ottawa,house,4,448,"419 Bronson Avenue  - Ottawa , ON",K1R 6P3,,2800,Canada
Ottawa,apartment,1,831,"138 Somerset Street West - 809  - Ottawa , ON",K1Y 2H4,,1950,Canada
Ottawa,town-house,3,470,"107G- 250 Fountain Place - 1  - Ottawa , ON",K1N 6A3,,3400,Canada
Ottawa,apartment,0,800,"427 Main Street - 1  - Ottawa , ON",K1S 1B4,,1500,Canada
Ottawa,apartment,1,900,"2969 Fairlea Crescent  - Ottawa , ON",K1V 9P5,,1740,Canada
Ottawa,apartment,2.5,550,"3528-3532, 3550 &amp; 3590 Downpatrick Road  - Ottawa , ON",K1V 8S8,,1990.5,Canada
Ottawa,apartment,0.5,1395,"2181 Navaho Drive  - Ottawa , ON",K2C 0C5,,1631.5,Canada
Ottawa,apartment,1,967,"3360 Paul Anka Drive  - Ottawa , ON",K1V 9S2,,1698,Canada
Ottawa,apartment,1.5,842,"190 Lees Avenue  - Ottawa , ON",K1N 8M9,,2094.5,Canada
Ottawa,apartment,1.5,936,"2920 Fairlea Crescent  - Ottawa , ON",K1V 9P5,,1685.5,Canada
Ottawa,apartment,1.5,1099,"1971 St. Laurent Boulevard  - Ottawa , ON",K1G 3P8,,1717.5,Canada
Ottawa,apartment,1.5,1150,"1975 St. Laurent Boulevard  - Ottawa , ON",K1G 3P8,,1823,Canada
Ottawa,house,4,1776,"351A Whitby Ave.  - Ottawa , ON",K2A 0B3,,4000,Canada
Ottawa,apartment,1,1052,"21 James Street  - Ottawa , ON",K2P 2A8,,1818,Canada
Ottawa,apartment,1,700,"140 Stewart Street - 5  - Ottawa , ON",K1N 6K5,,1350,Canada
Ottawa,apartment,1.5,700,"860 Blackthorne Avenue  - Ottawa , ON",K1K 3Y7,,1842,Canada
Ottawa,apartment,1,400,"57 Bayswater Avenue  - Ottawa , ON",K1Y 0H3,,1767,Canada
Ottawa,apartment,3,700,"235 Charlotte Street  - Ottawa , ON",K1N 8L5,,2442,Canada
Ottawa,duplex,1,900,"438 Parkdale Ave  - Ottawa , ON",K1Y 1H3,,2000,Canada
Ottawa,duplex,2,1200,"335 Saint Patrick Street - 1  - Ottawa , ON",K1N 1E7,,2100,Canada
Ottawa,house,2,578,"4 Stevens Avenue  - Ottawa , ON",K1K 1K4,,1750,Canada
Ottawa,town-house,3,600,"1365 Lily Lane  - Gloucester , ON",K1B 3L7,,2100,Canada
Ottawa,town-house,3,870,"4468 Elaine Drive  - Ottawa , ON",K1J 8W3,,2100,Canada
Ottawa,apartment,2,819,"1425 Vanier Parkway  - Ottawa , ON",K1K 1V2,,3025,Canada
Ottawa,apartment,0,407,"61 Parent Avenue - 204  - Ottawa , ON",K1N 5C8,,1347.5,Canada
Ottawa,apartment,1,349,"212 1/2 &amp; 216 1/2 Bank Street  - Ottawa , ON",K1H 8K5,,1649,Canada
Ottawa,apartment,1,962,"1196 Shillington Avenue  - Ottawa , ON",K1Z 7Z4,,1579,Canada
Ottawa,apartment,1,658,"1030-1040 Hollington Street  - Ottawa , ON",K1Z 7Z4,,1549,Canada
Ottawa,apartment,0.5,638,"350 Mayfield  - Ottawa , ON",K1L 7W8,,1525,Canada
Ottawa,apartment,1,631,"50 Selkrik  - Ottawa , ON",Postal code not found,,1675,Canada
Ottawa,apartment,1.5,888,"324 Cambridge  - Ottawa , ON",K1R 6J9,,2300,Canada
Ottawa,apartment,1,1090,"46 MacLaren  - Ottawa , ON",K2P 0H3,,2195,Canada
Ottawa,apartment,1.5,660,"143 MacLaren Street  - Ottawa , ON",K2P 1M2,,2274,Canada
Ottawa,apartment,1,763,"130 MacLaren  - Ottawa , ON",K2P 1M2,,1750,Canada
Ottawa,apartment,1,690,"218 MacLaren Street  - Ottawa , ON",K2P 2K2,,1539,Canada
Ottawa,house,4,600,"2257 Samuel Drive  - Ottawa , ON",K1G 3A7,,2695,Canada
Ottawa,apartment,0.5,963,"266 Bronson Avenue  - Ottawa , ON",K1R 6P3,,1545,Canada
Ottawa,apartment,1,1234,"180 Metcalfe Street  - Ottawa , ON",K2P 1N3,,3362.5,Canada
Ottawa,town-house,2,650,"1500 Riverside Drive - 907  - Ottawa , ON",K1G 0E5,,3200,Canada
Ottawa,house,3,750,"204 Compton Avenue  - Ottawa , ON",K2A 3T9,,3000,Canada
Ottawa,town-house,1,870,"60 Springhurst Avenue  - Ottawa , ON",K1S 1B9,,2375,Canada
Ottawa,apartment,1,541,"40 Nepean St  - Ottawa , ON",K2P 2B0,,2195,Canada
Ottawa,apartment,1,1080,"300 Lett  - Ottawa , ON",K1R 0B8,,2195,Canada
Ottawa,duplex,2,1113,"845 Trojan AvenueB  - Ottawa , ON",Postal code not found,,1495,Canada
Ottawa,duplex,3,580,"169 Florence St  - Ottawa , ON",K1R 5M3,,2800,Canada
Ottawa,apartment,1,693,"255 Fréchette St Vanier  - Ottawa , ON",K1L 5S2,,1450,Canada
Ottawa,town-house,3,1150,"103 Pretoria Ave  - Ottawa , ON",K1S 3N6,,3500,Canada
Ottawa,house,3,960,"873 Wingate Drive  - Ottawa , ON",K1G 1R7,,2990,Canada
Ottawa,apartment,2,925,"127 Second Ave.  - Ottawa , ON",K1S 2H2,,1900,Canada
Ottawa,apartment,1,575,"210 Chapel St.  - Ottawa , ON",K1N 5Z4,,1650,Canada
Ottawa,apartment,1,940,"234 Charlotte St.  - Ottawa , ON",K1N 6H3,,1600,Canada
Ottawa,apartment,0,962,"729 Cooper St.  - Ottawa , ON",K1R 5J5,,1350,Canada
Ottawa,apartment,2,655,"33 Heney Street  - Ottawa , ON",K1N 8Z7,,1950,Canada
Ottawa,house,4,975,"42 Walton Court  - Ottawa , ON",K1V 6M4,,2450,Canada
Ottawa,house,2,841,"355 Gilmour Street  - Ottawa , ON",K2P 0N9,,2375,Canada
Ottawa,apartment,1,809,"550 Lang's Road  - Ottawa , ON",K1K 0T1,,1775,Canada
Ottawa,house,4,743,"2079 Alta Vista Drive  - Ottawa , ON",K1H 8M7,,3100,Canada
Ottawa,apartment,0,424,"3 - 69 Daly Avenue  - Ottawa , ON",K1N 6H3,,1350,Canada
Ottawa,apartment,1,546,"410 Laurier Ave W  - Ottawa , ON",K1R 7Y7,,2345,Canada
Ottawa,apartment,1,700,"556 Laurier Ave W  - Ottawa , ON",K1R 7T7,,2345,Canada
Ottawa,apartment,4,770,"1998 Beaconwood Drive  - Ottawa , ON",K1J 6N2,,2545,Canada
Ottawa,apartment,1,1500,"186 James Street  - Ottawa , ON",K1R 6E5,,1750,Canada
Ottawa,private-room,1,2800,"Birchview Road  - Ottawa , ON",K2G 1V9,,717,Canada
Ottawa,apartment,1.5,800,"2861 Baycrest Drive  - Ottawa , ON",K1V 0G8,,1529,Canada
Ottawa,apartment,1.5,800,"2870 Cedarwood Drive  - Ottawa , ON",K1V 0G8,,1479,Canada
Ottawa,apartment,1.5,1467,"324 Laurier  - Ottawa , ON",K1P 0A4,,2300,Canada
Ottawa,duplex,3,1000,"2636 Don Street - 1  - Ottawa , ON",K2B 8G5,,2300,Canada
Ottawa,apartment,2,400,"2220 &amp; 2240 Halifax Drive  - Ottawa , ON",K1G 3C3,,2452.5,Canada
Ottawa,apartment,2,1450,"810-860 Canterbury Avenue  - Ottawa , ON",K1G 2H7,,2125,Canada
Ottawa,town-house,1,1000,"6B Monk Street - 1 (Basement)  - Ottawa , ON",Postal code not found,,2100,Canada
Ottawa,town-house,2,850,"4 Monk Street - 3  - Ottawa , ON",K1S 3W4,,3800,Canada
Ottawa,town-house,1,1000,"2 Monk Street - 2  - Ottawa , ON",K1S 3W4,,2400,Canada
