City,Property Type,Bedrooms,Bathrooms,Square Footage,Address,Zip code,Price
Ottawa,apartment,1-2,2,856,"90 Champagne  - Ottawa , ON",K1S 4P1,$2100 - $2900
City not found,apartment,0-1,1,756,"253 - 257 York Street  - Ottawa , ON",K1N 5T9,$1675 - $1850
City not found,apartment,0-1,1,470,"86-92 Hinton  - Ottawa , ON",K1Y 2Z7,$1700 - $2200
Ottawa,apartment,0-2,1,167,"256 Rideau  - Ottawa , ON",K1N 0A9,$1285 - $2970
City not found,apartment,1,1,1010,"150-152 Osgoode Street  - Ottawa , ON",K1N 8A4,$1400
Ottawa,apartment,0-2,2,954,"400 Kirkwood Avenue  - Ottawa , ON",K1Z 8N4,$1487 - $3268
Ottawa,apartment,1-2,2,1700,"121 Parkdale Ave  - Ottawa , ON",K1Y 4S9,$1920 - $4885
Ottawa,apartment,1-2.5,1,979,"929 Richmond Road  - Ottawa , ON",K2A 3T9,$1640 - $2630
Ottawa,apartment,1-2,2,855,"192 Bronson Ave.  - Ottawa , ON",K1R 6P3,$1950 - $3900
Ottawa,apartment,1-2,2,984,"1309 Carling Avenue  - Ottawa , ON",K1Z 7L3,$2306 - $2981
Ottawa,town-house,3,1,400,"135 Dalhousie Street  - Ottawa , ON",K1N 7C2,$2675
Ottawa,private-room,4,2,600,"144 Osgoode Street  - Ottawa , ON",K1N 8A4,$720
Ottawa,apartment,1-2,2,645,"89 Nepean Street  - Ottawa , ON",K2P 2B0,$1915 - $2375
Ottawa,apartment,0-2,2,1200,"287 Lisgar Street  - Ottawa , ON",K2P 0E1,$1700 - $2425
Ottawa,apartment,0-2,2,1450,"383 Albert Street  - Ottawa , ON",K1R 5B2,$1625 - $2685
Ottawa,apartment,1,1,237,"46 Nelson  - Ottawa , ON",K1N 5T9,$1925
Ottawa,apartment,0-1,1,425,"280 Laurier Avenue East  - Ottawa , ON",K1N 7Z2,$1865 - $1950
Ottawa,apartment,0,1,623,"196 Beechwood  - Ottawa , ON",K1L 8A1,$1750
Ottawa,apartment,1-2,2,670,"12 Jolliet  - Ottawa , ON",K1L 5S2,$2190 - $2500
Ottawa,private-room,2,1,698,"591 O'Connor  - Ottawa , ON",K1S 2G1,$3000
Ottawa,apartment,2,2,370,"105 Champagne Avenue South  - Ottawa , ON",K1S 4P1,$1300 - $1550
Ottawa,apartment,2-4,4,1745,"101 Champagne Avenue South  - Ottawa , ON",K1S 4P1,$1240 - $1470
Ottawa,apartment,2,1,586,"238 Carruthers  - Ottawa , ON",K1Y 1P8,$2550
Ottawa,apartment,0,1,960,"140 Osgoode Street  - Ottawa , ON",K1N 8A4,$1350
Ottawa,apartment,5,2,836,"18 Mcarthur  - Ottawa , ON",K1K 1K4,$4000
Ottawa,duplex,3,1,600,"216 Gladu  - Ottawa , ON",K1L 6P8,$2400
Gloucester,apartment,2-3,2,620,"530 Pimiwidon Street  - Gloucester , ON",Postal code not found,$2550 - $3400
Ottawa,apartment,0,1,470,"87 Mann Avenue  - Ottawa , ON",K1N 7Z9,$1575 - $1675
City not found,multi-unit,7,3,670,"101-115 Amaya  - Ottawa , ON",K2A 1P6,$900
Ottawa,apartment,0,1,560,"330 McLeod  - Ottawa , ON",K2P 1A4,$1500
Ottawa,apartment,1,1,350,"174 Clarence  - Ottawa , ON",K4C 1G9,$1700
Ottawa,apartment,1,1,1210,"178 Clarence  - Ottawa , ON",K1N 8Y3,$1675 - $1695
Ottawa,multi-unit,0,1,1100,"139 Henderson  - Ottawa , ON",K1N 0A6,$1500
Ottawa,apartment,3,1,940,"142 Osgoode Street  - Ottawa , ON",K1N 8A4,$2700
Ottawa,apartment,1,1,610,"22 Murray Street  - Ottawa , ON",K1N 9M5,$1910
Ottawa,apartment,1,1,726,"60 Daly Avenue  - Ottawa , ON",K1N 7G4,$1649
Ottawa,apartment,1-3,2,550,"99 Parkdale Avenue  - Ottawa , ON",K1Y 4S9,$1740 - $4500
Ottawa,apartment,1,1,874,"341 MacLaren Street  - Ottawa , ON",K2P 0M7,$1779
Ottawa,apartment,1,1,993,"335 MacLaren Street  - Ottawa , ON",K2P 0M7,$1750 - $1775
Ottawa,apartment,1-2,2,716,"638 Center Street  - Ottawa , ON",K1K 4S5,$1740 - $2325
City not found,apartment,1-3,1.5,753,"460 St-Laurent blvd  - Ottawa , ON",K1K 2Z8,$1805 - $3560
Ottawa,apartment,5,2,786,"323 Besserer  - Ottawa , ON",K1N 1C7,$4250
Ottawa,apartment,5,1,854,"310 Somerset Street East  - Ottawa , ON",K1N 6V7,$4500
Ottawa,apartment,1,1,607,"833 Richmond Road  - Ottawa , ON",K2B 8E4,$2010
Ottawa,apartment,0,1,925,"185/195/200 Clearview Avenue  - Ottawa , ON",K1Z 1G4,$1499
Ottawa,apartment,2-3,2.5,1200,"1140/1150 Fisher Avenue  - Ottawa , ON",K2E 0B6,$2039 - $3499
Ottawa,apartment,0-1,1,422,"1316 Carling Avenue  - Ottawa , ON",K1Z 7L3,$1529 - $1629
Ottawa,apartment,2,1,433,"315 Holmwood Avenue  - Ottawa , ON",K1S 2R2,$2285
Ottawa,apartment,0-2,1,626,"1170 Fisher Avenue  - Ottawa , ON",K1Z 6P7,$1529 - $1995
Gloucester,apartment,1,1,765,"2750 Carousel Crescent  - Gloucester , ON",K1T 4H4,$1625
Ottawa,apartment,1,1,570,"40 The Driveway  - Ottawa , ON",K1N 9A5,$1949
Ottawa,apartment,1,1,981,"1241 Kilborn Place  - Ottawa , ON",K1H 8N6,$1649
Ottawa,apartment,1,1,1,"200 Rideau Terrace  - Ottawa , ON",K1M 1B2,$1729
Gloucester,apartment,1,1,695,"2700 Saratoga Place  - Gloucester , ON",K1T 4H4,$1599
Ottawa,apartment,1-2,1,1650,"285 Loretta Ave S  - Ottawa , ON",K1V 1R6,$1750 - $2050
Ottawa,apartment,0-1,1,500,"360 Friel  - Ottawa , ON",K1N 6M3,$1775 - $2100
Ottawa,apartment,1,1,1282,"411 North River Rd.  - Ottawa , ON",K1K 1K4,$1899 - $1949
Ottawa,duplex,6,2,3000,"533 Chapel  - Ottawa , ON",K1N 7Z9,$925
Ottawa,multi-unit,6,2,795,"75 Blackburn Avenue  - Ottawa , ON",K1N 6W3,$925
Ottawa,apartment,0-2,2,1200,"335 Cooper Street  - Ottawa , ON",K2P 0G7,$1575 - $2299
Ottawa,apartment,0-3,2,1300,"70 Gloucester Street  - Ottawa , ON",K2P 1N6,$1675 - $3145
Ottawa,apartment,1,1,380,"385 Besserer St  - Ottawa , ON",K1N 6H3,$1750
Ottawa,apartment,1-2,2,740,"435 Albert St.  - Ottawa , ON",K1R 5B5,$2050 - $2600
Ottawa,apartment,0-1,1,765,"250 Besserer  - Ottawa , ON",K1N 5Y5,$1650 - $1950
Ottawa,multi-unit,7,4,1700,"97 Fourth Avenue  - Ottawa , ON",K1S 2L1,$6055
Ottawa,multi-unit,0-1,1,500,"80 Nelson Street  - Ottawa , ON",K1N 5T9,$1395 - $1475
Ottawa,apartment,1,1,1449,"169 Lisgar Street  - Ottawa , ON",K1R 6H6,$1950
Ottawa,apartment,0,1,422,"145 Stewart Street  - Ottawa , ON",K1N 7N1,$1499
Ottawa,apartment,2,1,941,"170 Metcalfe  - Ottawa , ON",K2P 1P8,$2650
Ottawa,apartment,2,1,1107,"199 Holland Avenue  - Ottawa , ON",K1Y 0X4,$1899
City not found,town-house,2,1,860,"530 Laurier Avenue West - 1  - Ottawa , ON",K1R 7Y7,$2450
Ottawa,house,2,1,1115,"71 Grosvenor Avenue  - Ottawa , ON",K1S 2Y7,$2500
City not found,town-house,2,2,930,"196 Besserer Street - 1202  - Ottawa , ON",K1N 7M7,$2800
City not found,town-house,2,2,453,"134 York Street - 703  - Ottawa , ON",K1N 5T9,$2500
Ottawa,house,3,2,1136,"1249 Kingston Ave.  - Ottawa , ON",K1Z 8E6,$2400
Ottawa,house,4,1,448,"419 Bronson Avenue  - Ottawa , ON",K1R 6P3,$2800
City not found,apartment,1,1,831,"138 Somerset Street West - 809  - Ottawa , ON",K1Y 2H4,$1950
City not found,town-house,3,3,470,"107G- 250 Fountain Place - 1  - Ottawa , ON",K1N 6A3,$3400
City not found,apartment,0,1,800,"427 Main Street - 1  - Ottawa , ON",K1S 1B4,$1500
Ottawa,apartment,1,1,900,"2969 Fairlea Crescent  - Ottawa , ON",K1V 9P5,$1740
3532,apartment,1-4,1.5,550,"3528-3532, 3550 &amp; 3590 Downpatrick Road  - Ottawa , ON",K1V 8S8,$1519 - $2462
Ottawa,apartment,0-1,1,1395,"2181 Navaho Drive  - Ottawa , ON",K2C 0C5,$1592 - $1671
Ottawa,apartment,0-2,1,967,"3360 Paul Anka Drive  - Ottawa , ON",K1V 9S2,$1566 - $1830
Ottawa,apartment,1-2,1,842,"190 Lees Avenue  - Ottawa , ON",K1N 8M9,$1750 - $2439
Ottawa,apartment,1-2,1,936,"2920 Fairlea Crescent  - Ottawa , ON",K1V 9P5,$1510 - $1861
Ottawa,apartment,1-2,1,1099,"1971 St. Laurent Boulevard  - Ottawa , ON",K1G 3P8,$1555 - $1880
Ottawa,apartment,1-2,1,1150,"1975 St. Laurent Boulevard  - Ottawa , ON",K1G 3P8,$1634 - $2012
Ottawa,house,4,3.5,1776,"351A Whitby Ave.  - Ottawa , ON",K2A 0B3,$4000
Ottawa,apartment,1,1,1052,"21 James Street  - Ottawa , ON",K2P 2A8,$1818
City not found,apartment,1,1,700,"140 Stewart Street - 5  - Ottawa , ON",K1N 6K5,$1350
Ottawa,apartment,1-2,1,700,"860 Blackthorne Avenue  - Ottawa , ON",K1K 3Y7,$1789 - $1895
Ottawa,apartment,0-2,1,400,"57 Bayswater Avenue  - Ottawa , ON",K1Y 0H3,$1549 - $1985
Ottawa,apartment,3,1,700,"235 Charlotte Street  - Ottawa , ON",K1N 8L5,$2395 - $2489
Ottawa,duplex,1,1,900,"438 Parkdale Ave  - Ottawa , ON",K1Y 1H3,$2000
City not found,duplex,2,1,1200,"335 Saint Patrick Street - 1  - Ottawa , ON",K1N 1E7,$2100
Ottawa,house,2,1,578,"4 Stevens Avenue  - Ottawa , ON",K1K 1K4,$1750
Gloucester,town-house,3,1.5,600,"1365 Lily Lane  - Gloucester , ON",K1B 3L7,$2100
Ottawa,town-house,3,1.5,870,"4468 Elaine Drive  - Ottawa , ON",K1J 8W3,$2100
Ottawa,apartment,1.5-2.5,2,819,"1425 Vanier Parkway  - Ottawa , ON",K1K 1V2,$2475 - $3575
City not found,apartment,0,1,407,"61 Parent Avenue - 204  - Ottawa , ON",K1N 5C8,$1345 - $1350
Ottawa,apartment,1,1,349,"212 1/2 &amp; 216 1/2 Bank Street  - Ottawa , ON",K1H 8K5,$1649
Ottawa,apartment,1,1,962,"1196 Shillington Avenue  - Ottawa , ON",K1Z 7Z4,$1579
City not found,apartment,1,1,658,"1030-1040 Hollington Street  - Ottawa , ON",K1Z 7Z4,$1549
Ottawa,apartment,0-1,1,638,"350 Mayfield  - Ottawa , ON",K1L 7W8,$1450 - $1600
Ottawa,apartment,0-2,1,631,"50 Selkrik  - Ottawa , ON",Postal code not found,$1450 - $1900
