City,Property Type,Bedrooms,Bathrooms,Square Footage,Address,Zip code,Price
Toronto,apartment,0-3,3,1463,"450 Front Street West  - Toronto , ON",M5V 2P1,$2400 - $7872
Toronto,apartment,1-2.5,2,963,"118 Balliol Street  - Toronto , ON",M4S 3C4,$2540 - $4005
Toronto,apartment,1-3,2.5,1119,"131 Mill Street  - Toronto , ON",M5A 3C4,$2546 - $4437
Toronto,apartment,0-3,2,886,"200 Redpath Avenue  - Toronto , ON",M4P 1G4,$2570 - $4980
Toronto,apartment,1-2,2,1050,"57 Spadina  - Toronto , ON",M5R 2X3,$3217 - $4536
Toronto,apartment,0-2.5,2,847,"18 Erskine Ave  - Toronto , ON",M4P 1Y5,$2615 - $3925
Toronto,apartment,1-2,2,886,"2376 Dundas Street West  - Toronto , ON",M5G 1M5,$2500 - $3720
Toronto,apartment,1-2,2,773,"44 Lillian Street  - Toronto , ON",M4S 0B7,$2475 - $3680
Toronto,apartment,0-2,1,869,"45 Dunfield Avenue  - Toronto , ON",M4P 2Y1,$2190 - $3155
Toronto,apartment,1-3,2,1093,"25 Selby Street  - Toronto , ON",M4X 1W4,$2730 - $4773
Toronto,apartment,0-2,1,640,"730 St Clarens Avenue  - Toronto , ON",M6H 3Z6,$1610 - $2610
Toronto,apartment,1-3,2,1041,"740 Dupont St.  - Toronto , ON",M6G 0A9,$2740 - $4422
Toronto,apartment,0-3,2,1150,"798 Richmond Street West  - Toronto , ON",M6J 1G4,$1845 - $4230
Toronto,apartment,0-3,2,1021,"2280 Eglinton Ave West  - Toronto , ON",M6E 4Y2,$2099 - $3699
Toronto,apartment,1.5-3.5,1,968,"701 Eglinton Avenue West  - Toronto , ON",M5N 1B9,$2745 - $3479
Toronto,apartment,2-2.5,1,706,"699 Eglinton Avenue West  - Toronto , ON",M5N 1B9,$2608 - $2745
Toronto,apartment,2,1,653,"166 Eastbourne Avenue  - Toronto , ON",M4R 1A7,$2425
Toronto,apartment,1-2,1,664,"230 Oak Street  - Toronto , ON",M5A 0M9,$2050 - $2850
Toronto,apartment,2-2.5,1,1138,"697 Eglinton Avenue West  - Toronto , ON",M5N 1B9,$2608 - $2699
East York,apartment,2-3,1,836,"75 Eastdale Avenue  - East York , ON",M4C 5A2,$2600 - $2850
Toronto,apartment,2,1,664,"140 Springhurst Avenue  - Toronto , ON",M6K 2X5,$3020
Toronto,apartment,2,1,835,"464 Spadina Road  - Toronto , ON",M5P 2W3,$2745
Toronto,apartment,0-2,2,956,"167 Church Street  - Toronto , ON",M5B 1Y6,$2425 - $3700
Toronto,apartment,0-2,2,555,"570 Bay Street  - Toronto , ON",M5G 2C3,$2320 - $4250
Toronto,apartment,0-1,1,825,"132 Berkeley Street  - Toronto , ON",M5A 2X1,$2275 - $2800
Toronto,apartment,0-2,1,1186,"235 Bloor Street East  - Toronto , ON",M4W 3Y3,$2550 - $3715
Toronto,apartment,0-3,1.5,780,"44 Jackes Avenue  - Toronto , ON",M4T 1X3,$2211 - $5210
Toronto,apartment,0-2,2,882,"15 Solidarity Way  - Toronto , ON",Postal code not found,$2182 - $3638
Toronto,apartment,0-2,1,900,"55 Maitland Street  - Toronto , ON",M4Y 2C5,$2100 - $3500
Toronto,apartment,1-2,1.5,690,"45 Balliol Street  - Toronto , ON",M4S 1C3,$2400 - $3300
